Year,cost_mean,CountryCode,GenderCode,AveragePrev
2011,16.39,NZL,BTSX,18.4
2012,18.46,NZL,BTSX,17.75
2013,20.79,NZL,BTSX,17.5
2014,23.072499999999998,NZL,BTSX,16.7
2015,26.425000000000004,NZL,BTSX,16.45
2016,28.805,NZL,BTSX,15.85
2017,31.65,NZL,BTSX,15.1
2018,35.0175,NZL,BTSX,14.7
2019,37.48,NZL,BTSX,13.7
2009,13.365,NZL,BTSX,19.7
2010,14.379999999999999,NZL,BTSX,19.7
1983,,NZL,BTSX,33.0
1984,,NZL,BTSX,32.0
1985,,NZL,BTSX,30.0
1986,,NZL,BTSX,30.0
1987,,NZL,BTSX,30.0
1988,,NZL,BTSX,29.0
1989,,NZL,BTSX,26.5
1990,,NZL,BTSX,27.8
1991,,NZL,BTSX,25.8
1992,,NZL,BTSX,27.0
1993,,NZL,BTSX,27.0
1994,,NZL,BTSX,27.0
1995,,NZL,BTSX,27.0
1996,,NZL,BTSX,26.0
1997,,NZL,BTSX,26.0
1998,,NZL,BTSX,25.0
1999,,NZL,BTSX,26.0
2000,,NZL,BTSX,25.0
2001,,NZL,BTSX,25.0
2002,,NZL,BTSX,25.0
2003,,NZL,BTSX,25.0
2004,,NZL,BTSX,22.8
2005,,NZL,BTSX,23.7
2006,,NZL,BTSX,20.4
2007,,NZL,BTSX,20.0
2008,,NZL,BTSX,21.0
2021,,NZL,BTSX,9.2
2020,,NZL,BTSX,10.9
